Recipe Name,Ingredients,Steps,Cuisine,Meal Type,Prep Time,Cook Time,Total Time,Calories
Chicken Biryani,"Chicken, Rice, Yogurt, Onion, Garlic, Ginger, Biryani Masala, Oil, Salt",1. Marinate chicken in yogurt and spices. 2. Fry onions until golden. 3. Cook chicken. 4. Boil rice separately. 5. Layer rice and chicken. 6. Steam (dum) for 10-15 mins.,Pakistani,Lunch,30 mins,45 mins,1 hr 15 mins,500
Aloo Keema,"Minced Meat, Potatoes, Onion, Tomato, Ginger, Garlic, Spices, Oil, Salt",1. Fry onions. 2. Add minced meat and cook until brown. 3. Add tomatoes and spices. 4. Add potatoes and cook until tender.,Pakistani,Dinner,15 mins,30 mins,45 mins,350
Halwa Puri,"Flour, Semolina, Sugar, Oil, Water, Chickpeas, Spices",1. Knead dough for puri. 2. Prepare suji halwa with semolina and sugar. 3. Make chickpea curry. 4. Fry puris until golden.,Pakistani,Breakfast,20 mins,25 mins,45 mins,600
Chicken Karahi,"Chicken, Tomato, Garlic, Ginger, Green Chilies, Spices, Oil",1. Fry garlic and ginger in oil. 2. Add chicken and cook until white. 3. Add chopped tomatoes and spices. 4. Cook on high flame until oil separates.,Pakistani,Lunch,15 mins,30 mins,45 mins,450
Nihari,"Beef Shank, Flour, Onion, Nihari Masala, Ginger, Garlic, Oil",1. Fry onions. 2. Add beef and cook with masala. 3. Add flour to thicken. 4. Cook on low flame for several hours. 5. Garnish with ginger and lemon.,Pakistani,Dinner,30 mins,4 hrs,4 hrs 30 mins,700
Chana Chaat,"Chickpeas, Onion, Tomato, Green Chili, Lemon Juice, Chaat Masala, Salt",1. Boil chickpeas. 2. Chop vegetables. 3. Mix all with spices and lemon juice.,Pakistani,Snack,15 mins,10 mins,25 mins,250
Seekh Kabab,"Minced Meat, Onion, Garlic, Ginger, Green Chili, Spices, Oil",1. Mix all ingredients. 2. Shape into kababs on skewers. 3. Grill or fry until cooked.,Pakistani,Dinner,20 mins,15 mins,35 mins,300
Saag,"Spinach, Mustard Greens, Cornmeal, Green Chili, Garlic, Ginger, Salt",1. Boil greens. 2. Blend into puree. 3. Cook with spices and cornmeal.,Pakistani,Lunch,30 mins,1 hr,1 hr 30 mins,400
Shami Kabab,"Minced Meat, Chana Dal, Onion, Garlic, Ginger, Spices, Egg",1. Boil meat and dal. 2. Blend with spices. 3. Shape patties and shallow fry.,Pakistani,Snack,30 mins,20 mins,50 mins,270
Haleem,"Wheat, Meat, Lentils, Onion, Ginger, Garlic, Spices, Oil",1. Cook grains and lentils. 2. Cook meat separately. 3. Blend and mix all. 4. Cook until thick.,Pakistani,Dinner,1 hr,4 hrs,5 hrs,650
Samosa,"Flour, Potatoes, Peas, Spices, Oil, Water",1. Prepare dough. 2. Make filling. 3. Shape and fill samosas. 4. Deep fry.,Pakistani,Snack,30 mins,20 mins,50 mins,300
Kofta Curry,"Minced Meat, Onion, Spices, Tomato, Yogurt, Garlic, Ginger",1. Make meatballs. 2. Fry onion and tomato masala. 3. Add koftas and cook.,Pakistani,Lunch,30 mins,40 mins,1 hr 10 mins,500
Tikka Boti,"Boneless Chicken, Yogurt, Spices, Lemon Juice, Oil",1. Marinate chicken in spices. 2. Grill or bake until done.,Pakistani,Dinner,3 hrs,25 mins,3 hrs 25 mins,400
Bhindi Masala,"Okra, Onion, Tomato, Spices, Oil, Garlic",1. Fry okra. 2. Make onion-tomato masala. 3. Add okra and cook.,Pakistani,Lunch,20 mins,25 mins,45 mins,200
Gajar ka Halwa,"Carrots, Milk, Sugar, Ghee, Cardamom, Nuts",1. Grate carrots. 2. Cook in milk. 3. Add sugar and ghee. 4. Garnish with nuts.,Pakistani,Dessert,20 mins,1 hr,1 hr 20 mins,450
Daal Chawal,"Lentils, Rice, Onion, Tomato, Garlic, Spices, Oil",1. Cook lentils with spices. 2. Prepare rice. 3. Serve together.,Pakistani,Lunch,15 mins,30 mins,45 mins,350
Karela Gosht,"Bitter Gourd, Meat, Onion, Tomato, Spices, Oil",1. Peel and fry karela. 2. Cook meat. 3. Mix karela and cook till done.,Pakistani,Lunch,30 mins,45 mins,1 hr 15 mins,400
Anda Curry,"Eggs, Tomato, Onion, Garlic, Spices, Oil",1. Fry onions. 2. Add tomatoes and spices. 3. Add boiled eggs and simmer.,Pakistani,Dinner,15 mins,25 mins,40 mins,300
Zarda,"Rice, Sugar, Food Color, Dry Fruits, Cardamom, Ghee",1. Boil rice. 2. Mix with sugar and color. 3. Add dry fruits and ghee.,Pakistani,Dessert,20 mins,30 mins,50 mins,420
Kheer,"Milk, Rice, Sugar, Cardamom, Nuts",1. Boil milk and add rice. 2. Cook till thick. 3. Add sugar and cardamom. 4. Garnish with nuts.,Pakistani,Dessert,10 mins,1 hr,1 hr 10 mins,380
Palak Paneer,"Spinach, Paneer, Tomato, Onion, Spices, Garlic",1. Cook spinach. 2. Blend into puree. 3. Cook paneer with masala. 4. Mix with spinach.,Pakistani,Lunch,20 mins,30 mins,50 mins,350
Chapli Kabab,"Minced Meat, Tomato, Onion, Spices, Egg, Cornmeal",1. Mix all ingredients. 2. Flatten into patties. 3. Shallow fry.,Pakistani,Dinner,20 mins,15 mins,35 mins,400
Mutton Pulao,"Mutton, Rice, Whole Spices, Onion, Garlic, Ginger, Yogurt",1. Cook mutton with spices. 2. Add rice and cook until done.,Pakistani,Lunch,30 mins,1 hr,1 hr 30 mins,550
Pakora,"Gram Flour, Onion, Potato, Green Chili, Spices, Water, Oil",1. Mix all ingredients. 2. Drop batter into hot oil. 3. Fry until golden brown.,Pakistani,Snack,15 mins,20 mins,35 mins,300
Raita,"Yogurt, Cucumber, Mint, Salt, Roasted Cumin",1. Grate cucumber. 2. Mix all ingredients with yogurt.,Pakistani,Side,10 mins,0 mins,10 mins,100
